Outlier Number,name,gal_l,gal_b,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,hard_hm,hard_hs,nh_gal,acis_num,acis_time,likelihood,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,SIMBAD Best Match,SIMBAD Object Type
106, 2CXO J174613.8-290619,359.92505,-0.20214000000000001,0.89,0.88,16.9,8.54,0.8969,0.7845,108.2,53,1675987.8,67.94835,3.1399999999999997e-15,-0.285,4.178999999999999,7.368e-08,0.843,2.465e-15,2.907,0.00022480000000000002,2.1830000000000004e-08,0.8420000000000001,3.741e-15,100.0,245.0,1.969e-06,0.867,CXOGCS J174613.9-290620,X
107, 2CXO J174621.5-285256,0.13019,-0.11022,0.72,0.71,179.0,14.36,0.9606,0.9756,111.6,9,415423.3,331.3741,9.247000000000001e-14,-0.022000000000000002,340.8,3.45e-06,0.9570000000000001,8.432e-14,3.307,264.1,4.998e-07,0.9620000000000001,9.671e-14,100.0,854.0,7.859999999999999e-05,1.131,GAL 000.13-00.11,X
108, 2CXO J174954.6-294335,359.80709,-1.2090299999999998,0.72,0.71,75.9,13.57,0.8757,0.9444,87.31,3,19152.3,1173.79,3.773e-13,-0.762,36.11,3.274e-06,0.861,2.749e-13,7.922999999999999,32.98,3.943e-07,0.816,3.473e-13,100.0,686.6,0.000256,2.21,OGLE BLG501.24 34423,LP*
109, 2CXO J181123.2-191615,11.30454,-0.25353000000000003,0.8,0.75,69.0,25.62,0.8332,0.8445,162.8,11,374446.3,1590.765,7.535e-14,-0.33899999999999997,21.33,1.224e-06,1.295,7.194e-14,3.4530000000000003,0.7514,2.75e-07,1.215,6.793e-14,100.0,373.8,4.01e-05,1.7109999999999999,AX J181120-1913,X
110, 2CXO J182420.2-245421,7.7438699999999985,-5.55472,0.73,0.72,70.3,15.08,0.9207,0.9719,18.89,5,237078.1,986.1617,2.708e-14,-0.745,109.2,2.692e-07,0.348,2.313e-14,13.49,87.08,1.6e-08,0.358,2.434e-14,100.0,625.1,1.734e-05,1.399,NuSTAR J182429-2454.4,AGN?
111, 2CXO J185637.0+024147,35.92201,0.07789,0.81,0.76,97.0,12.47,0.9582,0.9731,178.0,1,38554.8,777.995,1.421e-13,-0.988,124.3,9.596999999999999e-07,0.996,1.916e-12,81.01,126.2,1.2e-08,0.997,1.2799999999999998e-13,100.0,857.0,0.00010400000000000001,2.463,No object found.,
112, 2CXO J195928.3+404401,76.18978,5.75548,0.71,0.71,177.9,144.06,0.8782,0.8545,30.57,11,243330.2,88231.44,4.077e-12,-1.4580000000000002,6.531e-07,1.044e-05,2.376,4.698e-12,78.34,214.5,3.221e-07,2.924,3.774e-12,100.0,1624.0,0.004265,3.4939999999999998,Cyg A,Sy2
113, 2CXO J222349.5-020612,61.865880000000004,-46.71384000000001,0.71,0.71,147.6,72.29,0.8045,0.7845,5.02,1,45595.7,36400.42,3.1889999999999994e-12,-0.67,2.009e-07,2.939e-05,2.043,3.1830000000000005e-12,7.3729999999999976,3.342e-07,3.4660000000000008e-06,2.201,2.647e-12,100.0,612.4,0.001842,6.0420000000000025,LEDA 68751,Sy1
114, 2CXO J224548.7+394116,98.13136,-17.05837,0.71,0.71,49.7,43.21,0.8907,0.9244,11.59,1,79921.4,11578.19,7.107e-13,-1.4180000000000001,7.172e-07,1.951e-06,2.48,4.622e-13,67.79,2.476,5.071000000000001e-08,3.05,6.742e-13,100.0,1864.0,0.0008389,4.777,3C 452,Sy2
115, 2CXO J230156.1+083442,82.47351,-45.51722,7.32,7.32,0.0,7.87,0.7883,0.8657,5.07,1,103587.4,34.00509,7.755e-14,-0.4920000000000001,3.405e-06,1.001e-06,0.865,5.857000000000002e-14,3.4739999999999998,1.261e-05,2.7940000000000003e-07,0.862,6.502000000000001e-14,100.0,429.2,4.175e-05,0.983,No object found.,
116, 2CXO J231823.6-422213,348.07802000000015,-65.69623,0.71,0.71,1.0,40.68,0.9244,0.8882,1.93,2,14454.3,8444.949,3.3980000000000007e-12,-1.527,3.103e-06,7.832e-06,2.198,2.4380000000000003e-12,87.33,196.6,2.4129999999999997e-07,2.512,3.165e-12,100.0,1427.0,0.0033450000000000003,2.926,NGC 7582,Sy2
117, 2CXO J233625.0+210902,100.42844000000001,-38.42064,0.73,0.72,95.2,10.79,0.6746,0.2948,4.33,2,135621.3,259.6534,2.008e-14,-0.78,1.38e-06,1.6300000000000002e-07,3.928,1.34e-14,51.51,1.023e-05,2.44e-09,3.9560000000000004,1.928e-14,100.0,1425.0,2.12e-05,4.944,IC 5337,EmG
118, 2CXO J234349.4-151704,66.51668000000001,-70.32552,0.71,0.71,179.8,23.44,0.8944,0.5084,1.96,3,125998.9,2726.337,1.741e-13,-3.273,4.797e-05,1.7009999999999998e-08,7.4579999999999975,1.0219999999999999e-10,39.37,2.15e-06,1.1550000000000001e-08,9.196,1.264e-13,100.0,4434.0,0.0003529,8.953,V* R Aqr,Sy*
119, 2CXO J235842.8-322605,4.86367,-77.40195,3.46,2.27,99.9,8.57,0.446,0.0712,1.17,1,48937.2,91.08185,2.522e-14,1.598,4.9850000000000006e-08,4.369e-06,0.9109999999999999,7.432e-15,0.3659,1.0720000000000001e-07,6.415e-05,2.08,2.46e-14,8.749,9.131000000000001e-09,5.8229999999999974e-06,1.013,[RP99] P3,*
